seed,guide,true_fc,est_fc,bias,r_pearson,r_spearman
0,NTC_1,0.0,-0.1167007904522146,-0.1167007904522146,0.2767410442788645,0.3233082706766917
0,KO1,-2.0,-2.0921789627544607,-0.09217896275446069,0.359985830992241,0.3196998123827393
0,KO2,-1.3219280948873622,-1.380049846696111,-0.0581217518087489,0.21325999340893861,0.2559099437148218
0,KO3,-0.029146345659516508,-0.11207642369196069,-0.08293007803244418,0.27856141088702807,0.29399624765478427
0,CA1,0.5849625007211562,0.5684379119403635,-0.01652458878079266,0.3776757142287849,0.4311444652908068
0,CA2,1.0,0.9011891860492502,-0.09881081395074975,0.2772209204646643,0.20037523452157602
1,NTC_1,0.0,-0.1427179794780935,-0.1427179794780935,0.16200336396498743,0.1969924812030075
1,KO1,-2.0,-2.0582047920696462,-0.05820479206964624,0.2219528871608246,0.20450281425891187
1,KO2,-1.3219280948873622,-1.3099328499309744,0.011995244956387818,0.12259495455776413,0.14484052532833022
1,KO3,-0.029146345659516508,-0.07886566929742944,-0.049719323637912934,0.18467873728181086,0.18968105065666047
1,CA1,0.5849625007211562,0.511800624800471,-0.07316187592068524,0.37680286546341163,0.3467166979362101
1,CA2,1.0,0.9018639106281077,-0.09813608937189233,0.3624476952731267,0.22776735459662292
2,NTC_1,0.0,-0.1373759727947439,-0.1373759727947439,0.5629598407019293,0.5714285714285714
2,KO1,-2.0,-2.336437366532537,-0.33643736653253686,-0.19971627122521157,-0.1953095684803002
2,KO2,-1.3219280948873622,-1.5524283867351736,-0.2305002918478114,0.06334575981209833,0.11857410881801128
2,KO3,-0.029146345659516508,-0.04520907215997827,-0.01606272650046176,0.49915854573869073,0.45703564727954976
2,CA1,0.5849625007211562,0.35899625010564673,-0.22596625061550946,0.342987790617416,0.31575984990619144
2,CA2,1.0,0.8798903007037913,-0.12010969929620874,0.23285920353192868,0.18836772983114447
3,NTC_1,0.0,-0.49549355320856225,-0.49549355320856225,0.37809443925258157,0.41503759398496237
3,KO1,-2.0,-2.382035873460027,-0.3820358734600271,-0.08288289923373618,-0.008067542213883679
3,KO2,-1.3219280948873622,-1.5890041809551443,-0.2670760860677821,0.35330155061414653,0.32589118198874306
3,KO3,-0.029146345659516508,-0.2902814369671072,-0.26113509130759066,0.2194221709822537,0.15797373358348968
3,CA1,0.5849625007211562,0.42604575343206275,-0.15891674728909344,-0.008518369109576943,-0.04521575984990619
3,CA2,1.0,0.8259695548541819,-0.1740304451458181,0.08492526901620476,0.17917448405253283
4,NTC_1,0.0,-0.0075384598247731915,-0.0075384598247731915,0.27064079519026374,0.23609022556390977
4,KO1,-2.0,-2.026596925782415,-0.026596925782414793,0.4787572723008532,0.39005628517823643
4,KO2,-1.3219280948873622,-1.3810907822124685,-0.05916268732510632,0.4494710821210618,0.37654784240150097
4,KO3,-0.029146345659516508,-0.16607680134699,-0.13693045568747347,-0.07247631722624501,0.02138836772983115
4,CA1,0.5849625007211562,0.42134938426092017,-0.16361311646023602,0.4146826903297748,0.426829268292683
4,CA2,1.0,0.925539352370051,-0.07446064762994897,0.21749644116227476,0.1632270168855535
5,NTC_1,0.0,-0.045289180802556395,-0.045289180802556395,0.30289620523672167,0.14436090225563908
5,KO1,-2.0,-2.025311372803899,-0.025311372803899168,0.24264481956300765,0.00075046904315197
5,KO2,-1.3219280948873622,-1.4118601303569998,-0.08993203546963757,0.2208408241906798,0.2176360225140713
5,KO3,-0.029146345659516508,-0.03419270329401147,-0.005046357634494965,0.35413599009496793,0.3904315196998124
5,CA1,0.5849625007211562,0.5580404777057444,-0.0269220230154118,0.4303131444008076,0.40769230769230774
5,CA2,1.0,0.9132774848468577,-0.08672251515314233,0.32132490403996306,0.25947467166979366
6,NTC_1,0.0,-1.2370153885357107,-1.2370153885357107,0.3901467454200119,0.23759398496240602
6,KO1,-2.0,-3.221418998765203,-1.2214189987652029,-0.10523512393428253,-0.12926829268292683
6,KO2,-1.3219280948873622,-2.499319217728826,-1.1773911228414637,0.08626399892617315,0.1178236397748593
6,KO3,-0.029146345659516508,-1.278210304307195,-1.2490639586476786,0.16597273105174254,0.17786116322701692
6,CA1,0.5849625007211562,-0.7403255920879568,-1.3252880928091129,0.3253665592018399,0.40225140712945595
6,CA2,1.0,-0.38604368977472436,-1.3860436897747244,0.23675803937619438,0.33227016885553473
7,NTC_1,0.0,-0.04919876866266382,-0.04919876866266382,0.4350755346650075,0.4270676691729323
7,KO1,-2.0,-1.8051492195598806,0.1948507804401194,0.31518282909641493,0.24559099437148219
7,KO2,-1.3219280948873622,-1.4230414848797048,-0.10111338999234265,-0.05477554682227578,-0.027016885553470923
7,KO3,-0.029146345659516508,-0.03038515858575952,-0.0012388129262430117,0.45762094877711257,0.34971857410881807
7,CA1,0.5849625007211562,0.4785712737567698,-0.10639122696438641,0.16147175092326466,0.18273921200750473
7,CA2,1.0,1.0347679633624827,0.03476796336248267,0.07403290160007316,0.08667917448405253
8,NTC_1,0.0,-0.34766831211969507,-0.34766831211969507,0.1903197176430438,0.14586466165413534
8,KO1,-2.0,-2.1592613678447927,-0.15926136784479272,0.42709952068234264,0.3088180112570357
8,KO2,-1.3219280948873622,-1.4839135628215994,-0.16198546793423718,0.03834510512316811,0.06360225140712947
8,KO3,-0.029146345659516508,-0.05474152378961694,-0.025595178130100434,0.5406783591975419,0.5348968105065667
8,CA1,0.5849625007211562,0.49174962229802954,-0.09321287842312664,0.2985927844948678,0.3560975609756098
8,CA2,1.0,0.9158867377765452,-0.08411326222345483,0.3640449441429657,0.34990619136960605
9,NTC_1,0.0,-1.6331798058025564,-1.6331798058025564,-0.012500929337975551,0.12781954887218044
9,KO1,-2.0,-3.5289181690685476,-1.5289181690685476,0.09662426241714751,0.18236397748592875
9,KO2,-1.3219280948873622,-2.9932388287059988,-1.6713107338186366,-0.019032228480807108,0.05928705440900564
9,KO3,-0.029146345659516508,-1.7011553268902029,-1.6720089812306864,-0.008949033716456188,-0.039962476547842414
9,CA1,0.5849625007211562,-1.1695882301799978,-1.7545507309011539,0.11921076772459567,0.20544090056285183
9,CA2,1.0,-0.904630325364324,-1.904630325364324,-0.2134319761597029,-0.09943714821763605
10,NTC_1,0.0,0.10197386927678931,0.10197386927678931,0.46385716818851686,0.4586466165413533
